"MAPUNIT,C,68","PROVINCE,C,2","MU_GROUP,C,4","SN_GROUP,C,6"
PEPED103Fp:4-Ha:3-Sp:2/CB,PE,PE75,1
PEPED103Fp:4-Wp:2-Eg:2(dp/CB,PE,PE75,1
PEPED103Fr:5-Sm:5(dp/B,PE,PE75,1
PEPED103Fr:8-Or:1(dp/B,PE,PE75,1
PEPED103Go/C,PE,PE75,1
PEPED103Go/D,PE,PE75,1
PEPED103Go:4-Ch:2-Al:1/C,PE,PE75,1
PEPED103Go:4-Hab:1-Or:1/C,PE,PE75,1
PEPED103Go:5-Cu:4/C,PE,PE75,1
PEPED103Go:5-Ds:3/DB,PE,PE75,1
PEPED103Go:5-Ha:4/B,PE,PE75,1
PEPED103Go:6-Al:3/CD,PE,PE75,1
PEPED103Go:6-Ch:2/C,PE,PE75,1
PEPED103Go:6-Cu:2/C,PE,PE75,1
PEPED103Go:7-Ch:2/C,PE,PE75,1
PEPED103Go:8-Ch:1/C,PE,PE75,1
PEPED103Ha/B,PE,PE75,1
PEPED103Ha/C,PE,PE75,1
PEPED103Ha/CB,PE,PE75,1
PEPED103Ha/CD,PE,PE75,1
